  Freq. (cm^{-1})             VDOS-Si             VDOS-Cl            VDOS-all
         652.2979        7.293548E-05        5.135447E-03        5.208382E-03
         656.5062        6.672114E-05        4.994267E-03        5.060988E-03
         660.7146        6.361071E-05        4.944234E-03        5.007845E-03
         664.9230        6.300893E-05        4.937590E-03        5.000599E-03
         669.1314        5.997252E-05        4.815578E-03        4.875550E-03
         673.3397        5.541753E-05        4.928166E-03        4.983584E-03
         677.5481        5.058994E-05        4.835113E-03        4.885703E-03
         681.7565        5.109731E-05        4.974222E-03        5.025320E-03
         685.9649        4.754481E-05        4.992465E-03        5.040010E-03
         690.1732        4.924396E-05        5.185095E-03        5.234339E-03
         694.3816        4.412847E-05        5.333698E-03        5.377827E-03
         698.5900        4.437194E-05        5.550445E-03        5.594817E-03
         702.7983        4.140786E-05        5.953210E-03        5.994617E-03
         707.0067        4.117522E-05        6.404097E-03        6.445272E-03
         711.2151        3.963025E-05        7.138119E-03        7.177750E-03
         715.4235        3.865554E-05        8.264134E-03        8.302789E-03
         719.6318        3.824500E-05        9.661414E-03        9.699659E-03
         723.8402        3.702683E-05        1.275195E-02        1.278897E-02
         728.0486        3.729556E-05        1.638753E-02        1.642482E-02
         732.2570        3.628457E-05        2.714141E-02        2.717770E-02
         736.4653        3.669312E-05        4.522447E-02        4.526116E-02
         740.6737        3.817312E-05        1.195999E-01        1.196381E-01
         744.8821        3.634138E-05        2.297554E-01        2.297917E-01
         749.0905        3.220225E-05        2.078577E-01        2.078900E-01
         753.2988        3.544073E-05        9.250209E-02        9.253753E-02
         757.5072        3.484294E-05        3.703021E-02        3.706505E-02
         761.7156        3.506873E-05        2.261433E-02        2.264940E-02
         765.9239        3.576462E-05        1.367224E-02        1.370800E-02
         770.1323        3.590983E-05        1.062562E-02        1.066153E-02
         774.3407        3.701775E-05        7.772050E-03        7.809068E-03
         778.5491        3.812448E-05        6.571417E-03        6.609541E-03
         782.7574        3.914051E-05        5.455023E-03        5.494163E-03
         786.9658        4.157309E-05        4.712784E-03        4.754358E-03
         791.1742        4.276144E-05        4.281538E-03        4.324300E-03
         795.3826        4.738789E-05        3.718665E-03        3.766053E-03
         799.5909        4.921485E-05        3.567473E-03        3.616688E-03
